date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2025-02-07,NFP,2025-02-07T13:30:00,17.3,CROWDED_SHORT,2.982,-1,3.756,-1,-1.75
2025-02-12,CPI,2025-02-12T13:30:00,13.5,CROWDED_SHORT,2.307,-1,3.963,1,0.564
2025-03-07,NFP,2025-03-07T13:30:00,40.4,NEUTRAL,1.09,1,1.288,-1,-0.133
2025-03-12,CPI,2025-03-12T12:30:00,53.8,NEUTRAL,1.566,1,1.566,-1,-0.296
2025-03-19,FOMC,2025-03-19T18:00:00,88.5,CROWDED_LONG,1.893,1,1.893,1,1.246
2025-04-04,NFP,2025-04-04T12:30:00,78.8,NEUTRAL,1.997,-1,2.547,-1,-1.801
2025-04-10,CPI,2025-04-10T12:30:00,82.7,CROWDED_LONG,2.256,1,2.432,1,1.92
2025-05-02,NFP,2025-05-02T12:30:00,92.3,CROWDED_LONG,2.024,-1,2.346,-1,-1.116
2025-05-07,FOMC,2025-05-07T18:00:00,90.4,CROWDED_LONG,1.727,-1,1.967,-1,-1.185
2025-05-13,CPI,2025-05-13T12:30:00,90.4,CROWDED_LONG,1.706,1,2.041,1,1.985
2025-06-06,NFP,2025-06-06T12:30:00,92.3,CROWDED_LONG,1.994,-1,1.994,-1,-0.726
2025-06-11,CPI,2025-06-11T12:30:00,96.2,CROWDED_LONG,2.066,1,2.372,1,1.665
2025-06-18,FOMC,2025-06-18T18:00:00,98.1,CROWDED_LONG,2.035,-1,2.035,-1,-1.319
2025-07-04,NFP,2025-07-04T12:30:00,98.1,CROWDED_LONG,0.832,1,0.832,1,0.216
2025-07-15,CPI,2025-07-15T12:30:00,100.0,CROWDED_LONG,3.328,-1,3.621,-1,-2.527
2025-07-30,FOMC,2025-07-30T18:00:00,96.2,CROWDED_LONG,2.318,-1,2.66,-1,-1.24
2025-08-01,NFP,2025-08-01T12:30:00,96.2,CROWDED_LONG,4.532,1,4.532,1,3.789
2025-08-12,CPI,2025-08-12T12:30:00,90.4,CROWDED_LONG,3.183,1,3.183,1,2.295
2025-09-05,NFP,2025-09-05T12:30:00,84.6,CROWDED_LONG,2.731,1,2.734,1,1.152
2025-09-11,CPI,2025-09-11T12:30:00,86.5,CROWDED_LONG,3.093,1,3.093,1,1.906
2025-09-17,FOMC,2025-09-17T18:00:00,76.9,NEUTRAL,3.555,-1,3.945,-1,-0.691
2025-10-03,NFP,2025-10-03T12:30:00,78.8,NEUTRAL,1.188,1,1.199,1,0.259
2025-10-15,CPI,2025-10-15T12:30:00,67.3,NEUTRAL,1.249,1,1.249,1,0.817
2025-10-29,FOMC,2025-10-29T18:00:00,63.5,NEUTRAL,3.786,-1,3.786,-1,-2.6
2025-11-07,NFP,2025-11-07T13:30:00,57.7,NEUTRAL,1.893,1,1.893,1,0.058
2025-11-13,CPI,2025-11-13T13:30:00,38.5,NEUTRAL,1.725,1,2.319,1,1.345
2025-12-05,NFP,2025-12-05T13:30:00,63.5,NEUTRAL,0.871,1,1.674,-1,-0.18
2025-12-10,FOMC,2025-12-10T19:00:00,92.3,CROWDED_LONG,2.148,1,3.219,1,2.923
2025-12-10,CPI,2025-12-10T13:30:00,92.3,CROWDED_LONG,1.24,1,2.802,1,2.274
2026-01-02,NFP,2026-01-02T13:30:00,98.1,CROWDED_LONG,1.859,1,2.062,1,0.062
2026-01-14,CPI,2026-01-14T13:30:00,92.3,CROWDED_LONG,0.797,1,1.319,-1,-0.542
2026-01-28,FOMC,2026-01-28T19:00:00,75.0,NEUTRAL,1.211,-1,1.814,1,0.798
2026-02-06,NFP,2026-02-06T13:30:00,94.2,CROWDED_LONG,1.543,1,1.543,1,1.191
2026-02-11,CPI,2026-02-11T13:30:00,100.0,CROWDED_LONG,2.767,-1,2.767,-1,-1.034
2026-03-06,NFP,2026-03-06T13:30:00,80.8,CROWDED_LONG,1.15,1,1.819,1,0.932
2026-03-12,CPI,2026-03-12T12:30:00,25.0,NEUTRAL,1.265,-1,1.273,-1,-1.131
2026-03-18,FOMC,2026-03-18T18:00:00,1.9,CROWDED_SHORT,1.783,-1,2.376,-1,-1.557
2026-04-03,NFP,2026-04-03T12:30:00,1.9,CROWDED_SHORT,0.911,-1,1.044,-1,-0.978
2026-04-10,CPI,2026-04-10T12:30:00,1.9,CROWDED_SHORT,0.919,1,0.919,1,0.413
2026-04-29,FOMC,2026-04-29T18:00:00,11.5,CROWDED_SHORT,1.868,-1,1.868,-1,-0.506
2026-05-01,NFP,2026-05-01T12:30:00,11.5,CROWDED_SHORT,1.641,1,2.68,-1,-1.262
