date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2025-07-04,NFP,2025-07-04T12:30:00,25.0,NEUTRAL,0.477,1,0.519,1,0.4
2025-07-15,CPI,2025-07-15T12:30:00,30.8,NEUTRAL,3.274,1,3.274,1,2.232
2025-07-30,FOMC,2025-07-30T18:00:00,48.1,NEUTRAL,2.097,1,2.325,1,0.576
2025-08-01,NFP,2025-08-01T12:30:00,48.1,NEUTRAL,4.834,-1,5.087,-1,-4.785
2025-08-12,CPI,2025-08-12T12:30:00,50.0,NEUTRAL,2.321,-1,2.321,-1,-1.688
2025-09-05,NFP,2025-09-05T12:30:00,63.5,NEUTRAL,2.973,-1,2.973,-1,-1.575
2025-09-11,CPI,2025-09-11T12:30:00,53.8,NEUTRAL,2.824,-1,2.838,-1,-1.891
2025-09-17,FOMC,2025-09-17T18:00:00,59.6,NEUTRAL,3.642,1,4.149,1,1.383
2025-10-03,NFP,2025-10-03T12:30:00,59.6,NEUTRAL,1.058,1,1.119,1,0.445
2025-10-15,CPI,2025-10-15T12:30:00,67.3,NEUTRAL,1.341,-1,1.341,-1,-0.463
2025-10-29,FOMC,2025-10-29T18:00:00,57.7,NEUTRAL,2.493,1,2.493,1,1.738
2025-11-07,NFP,2025-11-07T13:30:00,69.2,NEUTRAL,1.121,1,1.378,1,1.021
2025-11-13,CPI,2025-11-13T13:30:00,71.2,NEUTRAL,1.938,-1,1.938,-1,-0.831
2025-12-05,NFP,2025-12-05T13:30:00,80.8,CROWDED_LONG,0.722,1,1.084,1,0.388
2025-12-10,FOMC,2025-12-10T19:00:00,84.6,CROWDED_LONG,1.711,-1,3.127,-1,-2.17
2025-12-10,CPI,2025-12-10T13:30:00,84.6,CROWDED_LONG,1.267,-1,2.048,-1,-1.406
2026-01-02,NFP,2026-01-02T13:30:00,84.6,CROWDED_LONG,1.429,-1,1.432,-1,-0.199
2026-01-14,CPI,2026-01-14T13:30:00,98.1,CROWDED_LONG,1.595,-1,1.603,-1,-0.529
2026-01-28,FOMC,2026-01-28T19:00:00,94.2,CROWDED_LONG,0.717,1,1.144,-1,-0.428
2026-02-06,NFP,2026-02-06T13:30:00,92.3,CROWDED_LONG,0.922,-1,0.934,1,0.162
2026-02-11,CPI,2026-02-11T13:30:00,90.4,CROWDED_LONG,2.557,1,2.995,-1,-0.787
2026-03-06,NFP,2026-03-06T13:30:00,88.5,CROWDED_LONG,1.597,-1,1.597,-1,-0.173
2026-03-12,CPI,2026-03-12T12:30:00,92.3,CROWDED_LONG,1.305,1,1.61,1,1.46
2026-03-18,FOMC,2026-03-18T18:00:00,98.1,CROWDED_LONG,1.692,1,1.876,1,0.964
2026-04-03,NFP,2026-04-03T12:30:00,98.1,CROWDED_LONG,0.812,1,0.812,1,0.195
2026-04-10,CPI,2026-04-10T12:30:00,98.1,CROWDED_LONG,0.845,1,1.118,1,0.323
2026-04-29,FOMC,2026-04-29T18:00:00,98.1,CROWDED_LONG,0.997,1,1.191,-1,-0.123
2026-05-01,NFP,2026-05-01T12:30:00,98.1,CROWDED_LONG,0.818,1,1.141,1,0.696
